ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Context,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-118,19/04/2023 3:57,https://twitter.com/nic_arenas/status/1509803387491356672?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epekto, vaccine",@nic_arenas,Nick Arenas,Life | Humanity | Spirituality | HealthCare | Sports | Basketball,Anonymous,Jun-16,439,93,Philippines,None,VACCINES are UNSAFE!!!,,Reply,01/04/2022 16:02,,Emotional,0,0,0,0,,FALSE,"The user claims that vaccines are unsafe. However, COVID-19 Vaccines are considered safe by the U.S. FDA by the CDC.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/is-the-covid19-vaccine-safe]","Despite not mentioning COVID vaccines directly, the tweet replies to a post by DOH about COVID booster shots. Hence, the tweet is concluded to pertain to COVID vaccines.",616,476,393,-123,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-119,19/04/2023 4:04,https://twitter.com/nic_arenas/status/1509063677563256834?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epekto, vaccine",@nic_arenas,Nick Arenas,Life | Humanity | Spirituality | HealthCare | Sports | Basketball,Anonymous,Jun-16,439,93,Philippines,None,"PEOPLE WAKE UP, These vaccines are poisons! #Pfizer",,Text,30/03/2022 15:03,,Emotional,2,0,0,0,,FALSE,"COVID-19 vaccines passed rigorous clinical trials and are not poisonous to humans.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,614,474,391,-125,None,None,POISONING,YES; Vaccine Content,None,None,,
27-120,19/04/2023 4:12,https://twitter.com/nic_arenas/status/1492067570572169222?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epekto, vaccine",@nic_arenas,Nick Arenas,Life | Humanity | Spirituality | HealthCare | Sports | Basketball,Anonymous,Jun-16,439,93,Philippines,Economic,"Dear ELITES, tama na panloloko please? yung bakuna ang nakaka sira ng katawan hindi ang COVID. At sa mainstream media naman, tigilan nyo na ang paggatong sa mga ELITE na yan, utang na loob. lalabas na din ang katotohanan.","Dear ELITES, is it cheating please? it's the vaccine that destroys the body, not the COVID. And the mainstream media, stop fueling those ELITEs, thank you. the truth will come out.
",Reply,11/02/2022 17:26,,Emotional,0,0,0,0,,FAKE,"The post that the tweet replied to is about a report by Philstar that talked about how the Coronavirus can destroy the placenta and cause stillbirths. However, the tweet claimed that it is the vaccines instead are causing this which is a fake statement formed by interchanging the terms. 

[https://twitter.com/PhilippineStar/status/1492061907163172864?s=20]",,567,427,344,-172,None,None,OTHER AILMENTS stillbirth,YES; Vaccine Trials,None,None,,
27-121,19/04/2023 4:32,https://twitter.com/RobertoGariand1/status/1389523440613294086?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epekto, vaccine",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,Sep-20,46,4,"NCR, Taguig",Socio-political,Gusto paabuyin pa ng DECEMBER tapodsin ni CARLITO GALVES ang pg papa vaccine. Na wala naman epekto sa covid biruz. Mabuti pa mg protection ng ANTIBIOTIC sa ubo. Mura na epektibo pa gamitin tulad ng AMOXICILLINE 500mg at sabayan ng CARBOSISTINE CAPSUL.,CARLITO GALVES wants to wait until DECEMBER to get the papa vaccine. Which has no effect on the covid virus. ANTIBIOTIC protection against cough is good. Cheap yet effective to use like AMOXICILLINE 500mg and together with CARBOSISTINE CAPSUL.,Text,04/05/2021 18:12,,Emotional,0,0,0,0,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,284,144,61,-455,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-122,19/04/2023 19:47,https://twitter.com/kaliwatlapulapu/status/1388990739137409031,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","SINOVAC, bakuna, patay",@kaliwatlapulapu,Kaliwat Ni Lapu-lapu,kaliwat ni lapu-lapu,Anonymous,Dec-16,2072,226,"Cebu City, Central Visayas",Racial,"Bakuna ng china 50%buhay ka, 50%patay ka

Cop who got 1st Sinovac dose dies of COVID-19 https://newsinfo.inquirer.net/1425825/cop-who-got-1st-sinovac-dose-dies-of-covid-19","China vaccine 50%you are alive, 50%you are dead

Cop who got 1st Sinovac Dose Dies of Covid-19",URL,03/05/2021 18:56,,Emotional,0,0,0,0,,UNPROVEN,"The claim that a cop who got the 1st Sinovac dose died of Covid-19 is UNPROVEN. 

[https://www.philstar.com/headlines/2021/03/09/2082927/cop-who-got-1st-sinovac-dose-dies-covid-19]",,283,143,60,-456,Sinovac/CoronaVac,None,DEATH,YES; Vaccine Trials,China,Patay,,
27-123,19/04/2023 22:03,https://twitter.com/MamTessCD/status/1367000978331889669,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, hindi nakakatulong",@MamTessCD,Teresita Curato-Dapoc,None,Identified,Dec-17,1797,1078,Republic of the Philippines,None,"Pag nasusukol, iba ang paraan ng pagsagot, Kayo Ang Problema, dilawang liberal, Masahol PaKayo Sa Covid virus dahil NilalasonNyoIsip ngMgaPilipino hinggil sa Sinovac vaccine ng China, hindi kayo nakakatulong sa pagsugpo ng pandemic virus","When it comes to answering, you have a different way of answering, you are the problem, the yellow liberal, the worse in the covid virus because the Filipino is poisoned by the China's Sinovac Vaccine, you do not help suppress the pandemic virus",Reply,03/03/2021 14:36,,Rational,2,0,0,0,,NEED CONTEXT,"""This tweet contains false and misleading information about the Sinovac vaccine and the Filipino people. The Sinovac vaccine has been approved by the Philippine FDA and has been shown to be effective in preventing severe illness and hospitalization from COVID-19. The tweet also contains derogatory language towards a political group, which is not productive in addressing the pandemic. 

[https://www.rappler.com/newsbreak/fact-check/what-we-know-sinovac-coronavac-vaccine-philippines]""",,222,82,-1,-517,Sinovac/CoronaVac,None,POISONING,YES; Vaccine Trials,China,None,,
27-124,19/04/2023 22:13,https://twitter.com/filipino_first/status/1392268478510288896,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID. bakuna, walang kwenta",@filipino_first,FILIPINO FIRST,"God fearing, ako ay Filipino sa isip, salita at gawa. I ❤️ PH. Isang bansa isang diwa ang minimithi ko. Ama ko ay ma-prinsipiyong militar.",Anonymous,Jan-21,140,122,Philippines,Racial,"Sayang ang ASTRAZENECA at sayang ang pera ng taong bayan sa sinovac na walang kwenta na bakuna. Bili siya ng bili para may kita siya, at kaibigan niya ang china. Wala siyang paki sa sambayanan kung mag ka covid uli dahil nabakunahan ng gawang bakuna sa CHINA.","Astrazeneca is a waste of money and the people's money in Sinovac is worthless vaccine. She bought a price for her to earn, and she was a friend of China. He doesn't have the people if you can coovid again because he is vaccinated by a vaccine in China.",Text,12/05/2021 8:00,,Emotional,0,0,0,0,,INACCURATE,"This tweet is inaccurate. Both AstraZeneca and Sinovac have been approved by various regulatory bodies and have undergone clinical trials to prove their efficacy. In fact, a study conducted in Chile showed that Sinovac was 67% effective in preventing symptomatic COVID-19 and 80% effective in preventing death. Additionally, a study in the UK showed that AstraZeneca was 76% effective in preventing symptomatic COVID-19 after the first dose and up to 85% effective after the second dose. There is no evidence to suggest that being vaccinated with either of these vaccines will make someone more susceptible to getting COVID-19 again. 

[https://www.reuters.com/business/healthcare-pharmaceuticals/chile-study-shows-sinovac-vaccine-67-effective-preventing-symptomatic-covid-19-2021-04-16/]",,292,152,69,-447,Multiple,None,INEFFICIENCY,YES; Vaccine Distribution,China,None,,
27-125,19/04/2023 22:13,https://twitter.com/FouSurLaColline/status/1405831028195741700,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID. bakuna, walang kwenta",@FouSurLaColline,Mali John II,Smart and witty country bumpkin.,Identified,Oct-12,1281,1329,"Maputo, Mozambique",Racial,"WALANG KWENTA KASI ANG BAKUNA NG TSINA

The Persian Gulf island nation of Bahrain, battling a sharp resurgence of Covid-19 despite high levels of inoculation with a Chinese-made vaccine, has started giving booster shots using the Pfizer shot  wsj.com/articles/bahra… via @WSJ","China's vaccine is worthless

The Persian Gulf Island Nation of Bahrain, battling a sharp resurgence of covid-19 despite high levels of inoculation with a Chinese-made vaccine, has started giving booster shots using the pfizer shot wsj.com/articles/bahra… via @wsj",Text,18/06/2021 18:13,,Rational,0,0,0,0,,MISLEADING,"This tweet is misleading as Bahrain is not claiming that the Chinese-made vaccine is worthless, but rather administering booster shots using the Pfizer vaccine due to a sharp resurgence of COVID-19. The article from The Wall Street Journal explains that Bahrain has one of the highest vaccination rates in the world, with over 60% of its population fully vaccinated with the Sinopharm vaccine. However, breakthrough infections have been reported, leading to the decision to administer booster shots with the Pfizer vaccine. 

[https://www.wsj.com/articles/bahrain-battles-covid-19-surge-despite-high-vaccination-rate-11631621400]",,329,189,106,-410,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,China,None,,
27-126,19/04/2023 22:13,https://twitter.com/jokjok2027/status/1423703489868296193,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID. bakuna, walang kwenta",@jokjok2027,Jok,None,Anonymous,Feb-19,213,60,"San Antonio, Central Luzon",None,"Tanginang Covid to, Ano yang Delta niyo? season 3? walang kwenta yang bakuna niyo!","This motherfucking Covid , what is your Delta? Season 3? Your vaccine is worthless!",Text,07/08/2021 1:52,,Emotional,1,1,0,0,,NEED CONTEXT,"This tweet seems to be expressing frustration and skepticism towards the effectiveness of the COVID-19 vaccine, specifically in regards to the Delta variant. However, without context, it is unclear what specifically prompted this reaction. 

Context: The Delta variant is a highly transmissible strain of COVID-19 that has caused concern among health officials worldwide. Some individuals have expressed doubts about the effectiveness of the vaccine against this variant, leading to confusion and frustration. 

[https://www.cdc.gov/coronavirus/2019-ncov/variants/delta-variant.html]",,379,239,156,-360,None,None,INEFFICIENCY,YES; Vaccine Trials,None,Tangina,,
27-127,19/04/2023 22:13,https://twitter.com/DamsInDistress/status/1485159404534394880,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID. bakuna, walang kwenta",@DamsInDistress,Chesca Damian,Beauty Nerd. Writer. Photographer. Formula 1 Fan.,Identified,May-09,81,101,Philippines,None,Araw-araw na lang yung tangina niyang litanya na walang kwenta yung mga bakuna kasi nagakaka-hawaan parin ng covid.,Its always these fucking litanys everyday that vaccines are useless because covid is still contagious.,Text,23/01/2022 15:56,,Rational,0,0,0,0,,NEED CONTEXT,"Vaccines are not 100% effective in preventing COVID-19, but they significantly reduce the risk of severe illness, hospitalization, and death. According to the Centers for Disease Control and Prevention (CDC), the COVID-19 vaccines are highly effective in preventing COVID-19, including the Delta variant, and its complications. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/keythingstoknow.html]",,548,408,325,-191,None,None,INFECTION,YES; Other Conspiracy,None,None,,
27-128,19/04/2023 22:22,https://twitter.com/sallyngpusa2/status/1398217384851238915,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, hindi safe",@sallyngpusa2,Sally Sally,None,Anonymous,Mar-16,22,6,Philippines,Health,Kayo na rin nagsabi na marami ng variants ang covid ... So maski may bakuna ka na ...hindi ka pa rin safe ... Pwede ka dapuan ng ibang variant ... So ako maski fully vaccinated nako ... Tuloy lang ako sa pag face mask at face shield ...,You also said that there are many variants of covid ... So even if you have the vaccine ... you are still not safe ... You can get another variant ... So I am even though I am fully vaccinated ... Just keep going I'm wearing a face mask and face shield...,Reply,28/05/2021 17:59,,Rational,1,0,0,0,,NEED CONTEXT,"This tweet needs context because it implies that getting vaccinated is not effective in preventing COVID-19, which is not entirely true. While there are variants of the virus, getting vaccinated still significantly reduces the risk of severe illness, hospitalization, and death. However, it is still important to take precautions such as wearing a mask and practicing social distancing. 

[https://www.nytimes.com/2021/07/19/health/covid-vaccine-delta-variant.html]",,308,168,85,-431,None,None,INFECTION,YES; Vaccine Content,None,None,,
27-129,19/04/2023 22:22,https://twitter.com/junzorbelle/status/1405440592809664515,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, hindi safe",@junzorbelle,"Pedro Almanzor, Jr.","I'm married, Jesus Christ believer, a real estate agent, etc.",Identified,Jun-10,10,5,Cavite Philippines,None,BAKUNA KONTRA COVID HINDI SAFE SA MAYROON SAKIT? ANO ITO? PANOORIN - DR ... youtu.be/j8hcNe8sUW0 via @YouTube,Covid vaccine is not safe to have illness? WHAT IS THIS? Watch - Dr ... youout.be/j8hcne8suw0 via @youtube,URL,17/06/2021 16:22,,"Rational, Emotional",0,0,0,0,,NEED CONTEXT,"The tweet is spreading misinformation about the safety of the Covid vaccine. It is important to note that the vaccine has undergone rigorous testing and has been proven to be safe and effective in preventing severe illness and death from Covid-19. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/safety-of-vaccines.html]",,328,188,105,-411,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-130,19/04/2023 22:22,https://twitter.com/just_a_guy_twit/status/1583556410239246336,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, hindi safe",@just_a_guy_twit,The annoyer,None,Anonymous,Feb-22,50,6,Philippines,Socio-political,"DOH bakit corrupt kayo??
Doktor niyo parang drug dealer kung magadvice ng bakuna.
Covid vaccine hindi safe at di pa tinest kung nakakahinto ng virus pala.
Puro nabakunahan pa nagkakasakit at sabi niyo safe?","DOH why are you corrupt ??
You guys are like drug dealers of how you give advices to vaccines.
The Covid vaccine is not safe and not tested if it can stop a virus.
There are a lot of people who are vaccinated yet there are still many people who are sick and you say its safe?",Reply,22/10/2022 4:30,,Emotional,0,0,0,0,,NEED CONTEXT,"The tweet needs context because it makes baseless claims about the safety and efficacy of the Covid vaccine. According to the World Health Organization, the Covid vaccine has undergone rigorous testing and has been shown to be safe and effective in preventing severe illness and death from Covid-19. 

[https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON301]",,820,680,597,81,None,None,INEFFICIENCY,YES; Vaccine Trials,DOH,None,,
27-131,19/04/2023 22:41,https://twitter.com/charliectctn/status/1418040623731408897,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, di ligtas",@charliectctn,Charlíe,too many to mention~,Anonymous,May-15,160,184,Philippines,None,ligtas nga sa covid namatay namn sa pagod kasi di kinaya yung vaccine AHSHSHASHA,Your are safe from covid but you will die because you can't handle the vaccine ahshshasha,Text,22/07/2021 10:50,,Rational,1,0,0,0,,FALSE,"This tweet is false. There is no evidence to suggest that people will die from the COVID-19 vaccine. In fact, the vaccine has undergone rigorous testing and has been shown to be safe and effective. According to the Centers for Disease Control and Prevention (CDC), the most common side effects of the vaccine are mild and include pain and swelling at the injection site, fever, and fatigue. Serious side effects are rare. 

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/safety-of-vaccines.html]",,363,223,140,-376,None,None,DEATH,YES; Vaccine Content,None,None,,
27-132,19/04/2023 22:44,https://twitter.com/nic_arenas/status/1550309342775488512,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, masamang epekto",@nic_arenas,Nick Arenas,Life | Humanity | Spirituality | HealthCare | Sports | Basketball,Anonymous,Jun-16,439,93,City of Angels,Economic,May masamang epekto yang vaccines na yan in the long run. Bakit hindi nyo pakinggan ang mga nagsasabing hindi ito maganda sa katawan? madami nang datos at istorya ng vaccine injuries na pilit sinusupress ng mainstream media. Gawa ng mga elite yang COVID at bakuna.,That vaccines have a detrimental effect in the long run. Why don't you listen to those who say it's not good for the body? There are many data and stories of vaccine injuries that are strained by the mainstream media. Its the elites who made up covid and vaccine.,Text,22/07/2022 10:38,,Emotional,0,1,0,0,,FALSE,"This tweet is FALSE. Vaccines have been proven to be safe and effective in preventing diseases. The World Health Organization (WHO) states that vaccines are rigorously tested for safety and efficacy before they are approved for use. Vaccines undergo clinical trials involving thousands of people, and their safety and effectiveness are continuously monitored even after they are approved. The benefits of vaccination far outweigh the risks of adverse effects. 

[https://www.who.int/news-room/q-a-detail/vaccines-and-immunization-what-is-vaccination]",,728,588,505,-11,None,None,OTHER AILMENT injuries,YES; Vaccine Trials,None,None,,
27-133,19/04/2023 22:54,https://twitter.com/Eliezer99241315/status/1553316479361515520,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, lason",@Eliezer99241315,Eliezer Hernandez,"Creative Pursuits, psycho- engineer, musician",Identified,Jun-22,2705,1502,Philippines,None,"Eh gaya ng COVID-19 brouhaha hanggang ngayon walang isolated and purified specimen, at ang facemask at lockdown ay health hazard, ang bakuna ay lason.","Eh like the Covid-19 brouhaha to this day there is no isolated and purified specimen, and the facemask and lockdown are health hazard, the vaccine is poisonous.",Reply,30/07/2022 17:48,,Rational,0,1,0,0,,MISLEADING,"""This tweet is MISLEADING. According to the Centers for Disease Control and Prevention (CDC), the SARS-CoV-2 virus has been isolated and its genetic sequence has been identified. Additionally, wearing a mask and following lockdown measures have been shown to be effective in reducing the spread of COVID-19. The vaccines have undergone rigorous testing and have been approved by regulatory agencies. 

[https://www.cdc.gov/coronavirus/2019-ncov/lab/grows-virus-cell-culture.html]""",,736,596,513,-3,None,None,POISONING,YES; Vaccine Content,None,None,,
27-134,19/04/2023 22:54,https://twitter.com/AlanaBlanch6/status/1545810310778351616,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, lason",@AlanaBlanch6,Emma B.,None,Identified,Jan-19,19,5,Philippines,Socio-political,Mr President BBM sana matigil na ang bakuna dahil marami na pong nagkakasakit at nangamatay sa lason na yan. Isa po ako sa na- paralyzed ang kalahati kong katawan dahil po sa bakuna. At ang carrier ngayon ng Covid ay mga vaccinated po Mr President... Sana po mag imbestiga po kayo,Mr. President BBM I wish you would have stopped the vaccine because there are many sick and died in that poison. I was one of them and I was palalyzed half my body because of the vaccine. And now the carrier of the covid is vaccinated Mr president ... please investigate,Reply,10/07/2022 0:41,,Emotional,1,0,0,0,,UNPROVEN,"This tweet is UNPROVEN. There is no credible online source to support the claim that the COVID-19 vaccine is poison and has caused paralysis to individuals who received it. In fact, the COVID-19 vaccines have undergone rigorous testing and have been proven safe and effective by various health organizations worldwide. It is important to rely on factual information from credible sources when making claims about vaccines. 

[https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON298]",,716,576,493,-23,None,None,DEATH,YES; Vaccine Content,None,None,,
27-135,19/04/2023 23:43,https://twitter.com/rocktheboat008/status/1405665323013996546,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","Bakuna, di epektib",@rocktheboat008,SΓΞLLД MДЯIΞ ❤💚,"So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you. – Isaiah 41:10

Lets  follow each other 😍",Anonymous,Jun-09,2161,1822,Philippines,Health,Oh GOD natatakot ako dito sobra di epektib sa mga bakuna now.. Delta is  much deadlier kind of variant nahuhuli na naman ang mga news org. ng Pilipinas hmmp.,Oh God I'm afraid here there's no effect on the vaccines now .. Delta is much deadlier kind of variant that the news orgs of the Philippines are getting again hmmp.,Text,18/06/2021 7:15,,Rational,0,0,0,0,,UNPROVEN,"There is currently no evidence that the vaccines are ineffective against the Delta variant. 

[https://www.who.int/news-room/feature-stories/detail/the-effects-of-virus-variants-on-covid-19-vaccines]",,329,189,106,-410,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-136,19/04/2023 23:43,https://twitter.com/louvseokjin/status/1479637013624025088,27,"Lanting, Kurt",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","Bakuna, di epektib",@louvseokjin,kat 🛒,• bns / semi-stan acc • mostly for heejake • selling fan-made phone cases • ia bcos of uni • slow collector •,Anonymous,Jun-19,111,275,"National Capital Region, Repub",None,pa drop po anong klaseng bakuna meron kayo? di ata epektib yung sakin,can you drop what kind of vaccine do you have? the one I have is not effective for me,Reply,08/01/2022 10:12,,Rational,16,1,1,0,,NEED CONTEXT,"It is important to consult with a healthcare professional to determine which vaccine is best for you. Different vaccines have varying levels of effectiveness depending on factors such as age, health status, and the specific strain of the virus. 

[https://www.cdc.gov/vaccines/vpd/vpd-vac-basics.html]",,533,393,310,-206,None,None,INEFFICIENCY,YES; Vaccine Trials,None,None,,
27-137,19/04/2023 8:00,https://twitter.com/LouieYap9/status/1482058269480812547,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccinated, patay, virus",@LouieYap9,Louie Yap,I love mix martial art combat sport,Anonymous,Dec-21,594,269,Philippines,None,Dito we have two neighbors vaccinated pero patay did tinamaan din ang virus hindi effective yung bakuna na iyan,"
Here we have two neighbors vaccinated but they also died they also contracted the virus so that vaccine is not effective",Reply,15/01/2022 2:33,,Emotional,0,0,0,,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]","While the account name seems legitimate, there is not enough information in the profile's page to indicate whether it is a personal account or a dummy.",540,400,317,-199,None,None,"INEFFICIENCY, COVID ITSELF, DEATH",YES; Other Conspiracy,None,None,,
27-138,19/04/2023 8:00,https://twitter.com/maddyamparado/status/1426503328435900416,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, patay, balita",@maddyamparado,10M cutie,👩🏼‍⚖️⚖️,Identified,Jun-16,231,107,"NCR, Manila",None,Gusto ko ung pinipilit nila ung mga tao magpabakuna kesyo di makakagala or makakalabas pag walang bakuna tas sa balita napanuod ko patay dahil sa bakuna 😣,I like that they are forcing people to get vaccinated because they can't travel or go out without a vaccine. Then I saw on the news that people die because of the vaccine 😣,Text,14/08/2021 19:17,,Emotional,0,0,0,,,MISLEADING,"No deaths are proven to be linked to COVID-19 vaccines.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,386,246,163,-353,None,None,DEATH,YES; Other Conspiracy,None,None,,
27-139,19/04/2023 8:25,https://twitter.com/KimIverest/status/1482060654618226688,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","namatay, bakuna, disorder",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,Nov-21,35,6,Philippines,Economic,"Stop vaccination! Dami na ang vaccine deaths at vaccine injuries sa Pilipinas! Sa America, confirmed mahigit 45,000 namatay sa 2nd dose ng bakuna at may 948,000 ang naparalisa, sakit sa utak, heart disease, disorder sa regla, pagkamatay ng sanggol, tinnitus, etc! 
@lenirobredo","Stop vaccination! There are so many vaccine deaths and vaccine injuries in the Philippines! In America, confirmed more than 45,000 died from the 2nd dose of the vaccine and 948,000 were paralyzed, brain disease, heart disease, menstrual disorder, infant death, tinnitus, etc!
@lenirobredo",Reply,15/01/2022 2:42,,"Rational, Emotional",0,0,1,,,FAKE,"No deaths are proven to be linked to COVID-19 vaccines.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]","Even though the account has a text bio, the profile page does not contain enough information or photos that identify the account owner.",540,400,317,-199,None,None,"DEATH, OTHER AILMENT heart-disease tinnitus neurological-effects menstrual-complications",YES; Other Conspiracy,Leni Robredo,None,,
27-140,19/04/2023 8:35,https://twitter.com/KimIverest/status/1467684893077676032,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","deadly, delta, omicron, vax",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,Nov-21,35,6,Philippines,Economic,"Kill your cops! 
@DOHgovph
 vax is too useless vs delta & omicron. It is plain lethal injection thru its deadly side effects as reflected by US-VAERS Data that runs to more than 18,000 vaccine deaths in the U.S. alone & more thn 2 million serious vax injuries e.g. paralysis in EU",,Reply,06/12/2021 10:38,,"Rational, Emotional",0,0,0,,,FAKE,"No deaths are proven to be linked to COVID-19 vaccines.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]","Even though the account has a text bio, the profile page does not contain enough information or photos that identify the account owner.",500,360,277,-239,None,None,"DEATH, INEFFICIENCY",YES; Other Conspiracy,"EU, US, DOH",Kill your cops,,
27-141,19/04/2023 8:38,https://twitter.com/KimIverest/status/1467893740652023811,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vax, deaths, injuries",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,Nov-21,35,6,Philippines,Economic,"Walabg inilalabas na data re vax injuries and vax deaths! The info is intentionally supressed! 
@sofiatomacruz
 better investigate it. In US more than 18,000 vax deaths & more than 3 million vax injuries in EU! Vax threshold is 138 deaths & if it hits it, vax must be stopped!","No data is released re vax injuries and vax deaths! The info is intentionally suppressed!
@sofiatomacruz
 better investigate it. In US more than 18,000 vax deaths & more than 3 million vax injuries in EU! Vax threshold is 138 deaths & if it hits it, vax must be stopped!",Reply,07/12/2021 0:28,,"Rational, Emotional",0,0,0,,,FAKE,"No deaths are proven to be linked to COVID-19 vaccines.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]","Even though the account has a text bio, the profile page does not contain enough information or photos that identify the account owner.",501,361,278,-238,None,None,"DEATH, OTHER AILMENT injuries",YES; Other Conspiracy,"EU, US",None,,
27-142,19/04/2023 8:43,https://twitter.com/KimIverest/status/1469138975780917251,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vax, deaths, injuries",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,Nov-21,35,6,Philippines,Economic,"You are killing people. Some 19,000 vax deaths and 932,000 vax injuries per US cdc, fda, vaers data. It is genocide, mr abalos! 
@MMDA",,Reply,10/12/2021 10:56,,"Rational, Emotional",0,0,0,,,FAKE,"No deaths are proven to be linked to COVID-19 vaccines.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]","Even though the account has a text bio, the profile page does not contain enough information or photos that identify the account owner.",504,364,281,-235,None,None,"DEATH, OTHER AILMENT injuries",YES; Other Conspiracy,"US, MMDA",You are killing people,,
